name
Upright Row
Rear Delt Raise
Biceps Curl
Dip
Pushdown
Triceps Extension
Crunch
Sit-up
Leg Raise
Back Extension
Hyperextension
Leg Press
Lunge
Calf Raise
Leg Extension
Deadlift
Leg Curl
Bench Press
Fly
Push Up
Bent-over Row
Chin-up
Pulldown
Pullup
Shoulder Shrug
Front Raise
Handstand Pushup
Lateral Raise
Military Press
Shoulder Press
